,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,3004930994.440505,0.196144,150021000000.0,15320000000.0,15320000000.0,77670000000.0,65756000000.0,356414000000.0,165341000000.0,99585000000.0,2107000000.0,2274000000.0,4381000000.0,65354930994.440506,77670000000.0,636949000000.0,79975000000.0,10827000000.0,10656000000.0,7.17,7.29,77670000000.0,77670000000.0,77670000000.0,77670000000.0,77670000000.0,-554000000.0,19087000000.0,97311000000.0,15229000000.0,-91000000.0,15320000000.0,2107000000.0,2274000000.0,4381000000.0,79975000000.0,280535000000.0,222234000000.0,58301000000.0,47129000000.0,11172000000.0,11172000000.0,360510000000.0,356414000000.0,716924000000.0,716924000000.0
2024-12-31,-247916460.197627,0.135031,125651000000.0,-1836000000.0,-1836000000.0,59248000000.0,52795000000.0,326288000000.0,123815000000.0,71020000000.0,2271000000.0,2406000000.0,4677000000.0,60836083539.802376,59248000000.0,569366000000.0,68593000000.0,10721000000.0,10473000000.0,5.53,5.66,59248000000.0,59248000000.0,59248000000.0,59248000000.0,59248000000.0,-101000000.0,9265000000.0,68614000000.0,-2250000000.0,-414000000.0,-1836000000.0,2271000000.0,2406000000.0,4677000000.0,68593000000.0,243078000000.0,187812000000.0,55266000000.0,43907000000.0,11359000000.0,11359000000.0,311671000000.0,326288000000.0,637959000000.0,637959000000.0
2023-12-31,199057432.702293,0.189579,88352000000.0,1050000000.0,1050000000.0,30425000000.0,48663000000.0,304739000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29574057432.702293,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,30425000000.0,30425000000.0,30425000000.0,-12000000.0,7120000000.0,37557000000.0,938000000.0,-112000000.0,1050000000.0,-233000000.0,3182000000.0,2949000000.0,36852000000.0,233194000000.0,177008000000.0,56186000000.0,44370000000.0,11816000000.0,11816000000.0,270046000000.0,304739000000.0,574785000000.0,574785000000.0
2022-12-31,-3415860000.0,0.21,54618000000.0,-16266000000.0,-16266000000.0,-2722000000.0,41921000000.0,288831000000.0,38352000000.0,-3569000000.0,-1378000000.0,2367000000.0,989000000.0,10128140000.0,-2722000000.0,501735000000.0,12248000000.0,10189000000.0,10189000000.0,-0.27,-0.27,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-3000000.0,-3217000000.0,-5936000000.0,-16806000000.0,-540000000.0,-16266000000.0,-1378000000.0,2367000000.0,989000000.0,12248000000.0,212904000000.0,158775000000.0,54129000000.0,42238000000.0,11891000000.0,11891000000.0,225152000000.0,288831000000.0,513983000000.0,513983000000.0
