Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-07 00:00:00-04:00,97.0552413567394,102.28553535374297,95.18935186001399,99.52053833007812,35068500,0.0,0.0
2025-04-08 00:00:00-04:00,101.95683279718244,102.09218169236553,95.72109160523044,97.42262268066406,27147800,0.0,0.0
2025-04-09 00:00:00-04:00,96.0691363808891,103.03963417909021,94.87032131051387,102.2855453491211,30063300,0.0,0.0
2025-04-10 00:00:00-04:00,100.26496187453732,100.33263632053807,94.55128400229889,96.61052703857422,33999300,0.0,0.0
2025-04-11 00:00:00-04:00,96.96824770733971,100.47766407958805,95.50840466915905,99.71390533447266,22884600,0.0,0.0
2025-04-14 00:00:00-04:00,101.54111116697975,101.59911572603642,99.30784713176341,99.9555892944336,18020000,0.0,0.0
2025-04-15 00:00:00-04:00,100.19728747758687,101.90849577523994,99.57854757785961,99.67522430419922,13164900,0.0,0.0
2025-04-16 00:00:00-04:00,100.49699378564918,102.0825157991999,100.2552982668035,100.7290267944336,13607000,0.0,0.0
2025-04-17 00:00:00-04:00,101.21241213301136,104.94419132393493,100.99004902277103,103.36833190917969,17916500,0.0,0.0
2025-04-21 00:00:00-04:00,102.10185980004537,102.12119219693051,100.66135651333246,101.85049438476562,16926500,0.0,0.0
2025-04-22 00:00:00-04:00,102.61424661272504,105.3212393140787,102.61424661272504,104.70249938964844,13147000,0.0,0.0
2025-04-23 00:00:00-04:00,105.19555935944585,105.66928790552763,102.93329275539685,103.80339813232422,14235700,0.0,0.0
2025-04-24 00:00:00-04:00,104.38346542471429,105.26323330786315,103.40701342995517,105.02153778076172,9849600,0.0,0.0
2025-04-25 00:00:00-04:00,104.54780730012389,105.14721480928844,103.85172306392285,104.9635238647461,11245800,0.0,0.0
2025-04-28 00:00:00-04:00,105.13755428911678,105.6209453433196,104.10309772816119,105.02153778076172,13890900,0.0,0.0
2025-04-29 00:00:00-04:00,104.1611057233735,105.21490209172728,103.94841247236837,104.76051330566406,9483100,0.0,0.0
