,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2025-12-31,0.0,0.169016,,,5361000000.0,2123000000.0,12331000000.0,10271000000.0,22602000000.0,5361000000.0,5361000000.0,151000000.0,3159000000.0,3113800000.0,1.62,1.64,5114000000.0,5114000000.0,247000000.0,5361000000.0,-62000000.0,5423000000.0,5423000000.0,1103000000.0,6526000000.0,,,322000000.0,9580000000.0,352000000.0,9228000000.0,151000000.0,9077000000.0,21292000000.0,21292000000.0,2214000000.0,1236000000.0,696000000.0
2025-09-30,0.0,0.189,,,5589000000.0,1839000000.0,11950000000.0,10469000000.0,22419000000.0,5589000000.0,5589000000.0,144000000.0,3223500000.0,3182200000.0,1.66,1.68,5341000000.0,5341000000.0,248000000.0,5589000000.0,-20000000.0,5609000000.0,5609000000.0,1300000000.0,6909000000.0,,,149000000.0,9460000000.0,295000000.0,9165000000.0,144000000.0,9021000000.0,21436000000.0,21436000000.0,2103000000.0,1177000000.0,1106000000.0
2025-06-30,35996893.445169,0.14228,253000000.0,253000000.0,5494000000.0,1893000000.0,11708000000.0,9612000000.0,21320000000.0,5276996893.445169,5494000000.0,154000000.0,3267000000.0,3232700000.0,1.6,1.61,5214000000.0,5214000000.0,280000000.0,5494000000.0,-28000000.0,5522000000.0,5522000000.0,916000000.0,6438000000.0,253000000.0,-253000000.0,119000000.0,9129000000.0,266000000.0,8863000000.0,154000000.0,8709000000.0,20569000000.0,20569000000.0,2053000000.0,1089000000.0,1108000000.0
2025-03-31,0.0,0.096,,,4894000000.0,1858000000.0,11495000000.0,9478000000.0,20973000000.0,4894000000.0,4894000000.0,157000000.0,3321600000.0,3280400000.0,1.39,1.41,4616000000.0,4616000000.0,278000000.0,4894000000.0,90000000.0,4804000000.0,4804000000.0,522000000.0,5326000000.0,,,-490000000.0,9812000000.0,181000000.0,9631000000.0,157000000.0,9474000000.0,20149000000.0,20149000000.0,1984000000.0,1038000000.0,1057000000.0
2024-12-31,0.0,0.022292,,,5079000000.0,1984000000.0,11836000000.0,10219000000.0,22055000000.0,5079000000.0,5079000000.0,158000000.0,3360700000.0,3312800000.0,1.43,1.45,4801000000.0,4801000000.0,278000000.0,5079000000.0,-184000000.0,5263000000.0,5263000000.0,120000000.0,5383000000.0,,,117000000.0,9472000000.0,243000000.0,9229000000.0,158000000.0,9071000000.0,20378000000.0,20378000000.0,2071000000.0,1237000000.0,1120000000.0
