Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-07 00:00:00-04:00,437.829529221748,480.0351767019761,430.46216897432015,456.06182861328125,6353800,0.0,0.0
2025-04-08 00:00:00-04:00,478.3402756663877,481.9358009807181,443.6391615094402,452.8385925292969,4240900,0.0,0.0
2025-04-09 00:00:00-04:00,442.1990021806893,511.40527877881976,438.0352618841185,506.37939453125,7024100,0.0,0.0
2025-04-10 00:00:00-04:00,492.88883920000785,492.88883920000785,464.37946123326657,479.8587646484375,5374500,0.0,0.0
2025-04-11 00:00:00-04:00,477.11563566046016,488.40180995421696,468.8665184965113,484.4046325683594,3770200,0.0,0.0
2025-04-14 00:00:00-04:00,499.6487808198134,501.6081878034205,487.0595849705021,493.7509765625,4392600,0.0,0.0
2025-04-15 00:00:00-04:00,497.1113660691094,508.1232539513384,496.7096840386143,497.5816345214844,2501200,0.0,0.0
2025-04-16 00:00:00-04:00,491.53684201224866,499.1099608428617,482.6901205888435,488.9210205078125,2765600,0.0,0.0
2025-04-17 00:00:00-04:00,493.0259923728081,504.3807825383983,488.9896186333593,499.1491394042969,2593500,0.0,0.0
2025-04-21 00:00:00-04:00,495.14212290028377,498.9335705082757,484.63970060900107,491.1841125488281,2859300,0.0,0.0
2025-04-22 00:00:00-04:00,499.8741189738338,510.42551472407587,498.60048650682495,509.4360046386719,2514600,0.0,0.0
2025-04-23 00:00:00-04:00,522.799159598251,540.5905480348376,517.5381568273726,518.5668334960938,3048100,0.0,0.0
2025-04-24 00:00:00-04:00,516.401700895124,535.7410985872054,512.7963991211245,534.3009033203125,2223600,0.0,0.0
2025-04-25 00:00:00-04:00,533.5465370371918,537.9454562685053,530.2351342071547,533.80126953125,1612700,0.0,0.0
2025-04-28 00:00:00-04:00,533.801215951801,543.245571711949,531.4597103177337,535.3099975585938,1459700,0.0,0.0
2025-04-29 00:00:00-04:00,532.7529855056073,539.699110162535,530.3135331713527,537.7788696289062,1695600,0.0,0.0
2025-04-30 00:00:00-04:00,524.8860223603338,538.3667537734113,520.6635021391946,536.4367065429688,2438300,0.0,0.0
2025-05-01 00:00:00-04:00,536.9754913999764,547.0174527793138,534.4282860905905,542.5892333984375,2583000,0.0,0.0
2025-05-02 00:00:00-04:00,550.1818884231614,558.2154687925919,548.3400411259042,554.610107421875,2883000,0.0,0.0
2025-05-05 00:00:00-04:00,547.0272247155634,555.0608052691946,546.1846940677681,548.202880859375,2197200,0.0,0.0
2025-05-06 00:00:00-04:00,538.4449581128857,546.1258589850087,535.9565330341134,538.2098388671875,2902500,0.0,0.0
2025-05-07 00:00:00-04:00,539.0427017732138,544.107752289779,536.6228029554949,540.7179565429688,1954900,0.0,0.0
2025-05-08 00:00:00-04:00,547.4778971005973,560.5471078285182,546.8802923384939,554.21826171875,1994600,0.0,0.0
2025-05-09 00:00:00-04:00,558.6759951389279,560.4884229363086,554.2967486140525,555.5899047851562,1522500,0.0,0.0
2025-05-12 00:00:00-04:00,584.158076616909,591.1237548440565,576.1441083648657,579.3379516601562,3527700,0.0,0.0
2025-05-13 00:00:00-04:00,581.2581154933266,595.3756774077259,581.0229962041985,591.5548095703125,2765800,0.0,0.0
2025-05-14 00:00:00-04:00,591.5449700545175,602.5176613754227,590.271367445028,599.1866455078125,2874400,0.0,0.0
2025-05-15 00:00:00-04:00,597.3546003691034,606.6422302797974,597.3546003691034,603.3994140625,2428100,0.0,0.0
2025-05-16 00:00:00-04:00,604.4280205112707,608.1900480559327,601.1068116565544,606.4658203125,2021800,0.0,0.0
2025-05-19 00:00:00-04:00,596.8255730127611,606.8087539936057,586.1958140372361,599.8724365234375,2842100,0.0,0.0
2025-05-20 00:00:00-04:00,595.414855144656,599.137716816893,590.7710697085598,594.2098388671875,1601600,0.0,0.0
2025-05-21 00:00:00-04:00,589.585549595308,597.4917639522357,579.9844673318559,581.4148559570312,2635900,0.0,0.0
2025-05-22 00:00:00-04:00,580.5233643798217,589.9775281712423,580.4841977619617,586.0880737304688,1939600,0.0,0.0
2025-05-23 00:00:00-04:00,573.1266191463827,589.7424141102064,570.6773600902017,586.3917846679688,1530600,0.0,0.0
2025-05-27 00:00:00-04:00,593.6024062553914,605.1334764044046,592.6716759214373,603.2328491210938,2364700,0.0,0.0
2025-05-28 00:00:00-04:00,604.7514258590072,606.0740017106843,594.9837505359403,596.0908203125,2001900,0.0,0.0
2025-05-29 00:00:00-04:00,596.1691832964615,597.6191253181374,586.1565825945677,592.5834350585938,1736100,0.0,0.0
2025-05-30 00:00:00-04:00,590.7521753144741,594.2966643285934,584.6772906047609,591.1952514648438,2129500,3.0,0.0
2025-06-02 00:00:00-04:00,589.3736756723503,589.9348973989402,583.0427893167971,589.4918212890625,1221200,0.0,0.0
2025-06-03 00:00:00-04:00,590.7521476221277,596.974744121744,584.5787684492633,594.5231323242188,1730300,0.0,0.0
2025-06-04 00:00:00-04:00,596.1476228445129,596.9845577182365,589.4918061665393,589.9743041992188,1294900,0.0,0.0
2025-06-05 00:00:00-04:00,590.752128241926,600.3222838741265,583.7615854288288,596.54150390625,2086700,0.0,0.0
2025-06-06 00:00:00-04:00,603.5517900199766,611.8026333273136,600.5980292205313,604.536376953125,1675900,0.0,0.0
2025-06-09 00:00:00-04:00,605.274804410345,609.5577334416066,601.5924589729998,604.0637817382812,1610700,0.0,0.0
2025-06-10 00:00:00-04:00,603.5517716345892,607.0470431219096,599.9186435581671,605.3929443359375,1376400,0.0,0.0
2025-06-11 00:00:00-04:00,607.6673683961782,620.1322728731088,605.1173218409715,614.5496215820312,2063600,0.0,0.0
2025-06-12 00:00:00-04:00,611.428520586514,616.3613110198796,606.3086562213338,615.4751586914062,1634700,0.0,0.0
2025-06-13 00:00:00-04:00,606.5547578338828,610.5620337949908,600.1943648143176,604.0834350585938,1674800,0.0,0.0
2025-06-16 00:00:00-04:00,609.4593418449115,622.5248303259854,608.4747548629326,618.1729125976562,1870400,0.0,0.0
