,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2025-12-31,-58781212.63877,0.211443,-278000000.0,-278000000.0,4617000000.0,527000000.0,3708000000.0,16671000000.0,20379000000.0,4836218787.36123,4617000000.0,312900000.0,307300000.0,14.01,14.21,4384000000.0,4384000000.0,233000000.0,4617000000.0,4617000000.0,4617000000.0,1238000000.0,5855000000.0,-278000000.0,94000000.0,,0.0,527000000.0,527000000.0,4881000000.0,216000000.0,4665000000.0,4665000000.0,13454000000.0,13454000000.0,249000000.0,474000000.0,3313000000.0
2025-09-30,-31438056.379822,0.239985,-131000000.0,-131000000.0,4098000000.0,531000000.0,3852000000.0,16970000000.0,20822000000.0,4197561943.620178,4098000000.0,315000000.0,309600000.0,12.25,12.42,3860000000.0,3860000000.0,238000000.0,4098000000.0,4098000000.0,4098000000.0,1294000000.0,5392000000.0,-131000000.0,131000000.0,,0.0,531000000.0,531000000.0,4851000000.0,171000000.0,4680000000.0,4680000000.0,15184000000.0,15184000000.0,242000000.0,432000000.0,3266000000.0
2025-06-30,-249092.375958,0.249092,-1000000.0,-1000000.0,3723000000.0,618000000.0,3104000000.0,16685000000.0,19789000000.0,3723750907.624042,3723000000.0,318300000.0,313700000.0,10.91,11.03,3473000000.0,3473000000.0,250000000.0,3723000000.0,3723000000.0,3723000000.0,1235000000.0,4958000000.0,-1000000.0,1000000.0,,0.0,618000000.0,618000000.0,4852000000.0,167000000.0,4685000000.0,4685000000.0,14583000000.0,14583000000.0,234000000.0,440000000.0,3096000000.0
2025-03-31,1771000.0,0.161,11000000.0,11000000.0,4738000000.0,506000000.0,2895000000.0,16488000000.0,19383000000.0,4728771000.0,4738000000.0,324500000.0,320800000.0,14.12,14.25,4583000000.0,4583000000.0,155000000.0,4738000000.0,4738000000.0,4738000000.0,909000000.0,5647000000.0,11000000.0,-11000000.0,,0.0,506000000.0,506000000.0,5032000000.0,156000000.0,4876000000.0,4876000000.0,15062000000.0,15062000000.0,233000000.0,424000000.0,2944000000.0
2024-12-31,-3705915.921628,0.217995,-17000000.0,-17000000.0,4111000000.0,498000000.0,1583000000.0,18371000000.0,19954000000.0,4124294084.078372,4111000000.0,328400000.0,322400000.0,11.95,12.13,3923000000.0,3923000000.0,188000000.0,4111000000.0,4111000000.0,4111000000.0,1146000000.0,5257000000.0,-17000000.0,-11000000.0,28000000.0,0.0,698000000.0,698000000.0,3940000000.0,181000000.0,3759000000.0,3759000000.0,13869000000.0,13869000000.0,240000000.0,475000000.0,2891000000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,72000000.0,,,,,,,,,,,,
