,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-12-31,262555564.077,0.119181,43252000000.0,2203000000.0,2203000000.0,34455000000.0,6040000000.0,45767000000.0,45455000000.0,39415000000.0,911000000.0,298000000.0,1209000000.0,32514555564.077,34455000000.0,77895000000.0,35934000000.0,12228000000.0,12073000000.0,2.82,2.85,34455000000.0,,34455000000.0,34455000000.0,34455000000.0,34455000000.0,4662000000.0,39117000000.0,2272000000.0,69000000.0,-86000000.0,86000000.0,,2289000000.0,911000000.0,298000000.0,1209000000.0,35934000000.0,32128000000.0,18572000000.0,13556000000.0,8215000000.0,5341000000.0,5341000000.0,68062000000.0,45767000000.0,113829000000.0,113829000000.0
2025-09-30,2190015000.0,0.205,39058000000.0,10683000000.0,10683000000.0,34979000000.0,5611000000.0,41369000000.0,49741000000.0,44130000000.0,933000000.0,143000000.0,1076000000.0,26486015000.0,34979000000.0,71118000000.0,31228000000.0,12203000000.0,12086000000.0,2.87,2.89,34979000000.0,,34979000000.0,34979000000.0,34979000000.0,34979000000.0,9008000000.0,43987000000.0,11826000000.0,1143000000.0,-30000000.0,30000000.0,,10713000000.0,933000000.0,143000000.0,1076000000.0,31228000000.0,29749000000.0,15151000000.0,14598000000.0,7205000000.0,7393000000.0,7393000000.0,60977000000.0,41369000000.0,102346000000.0,102346000000.0
2025-06-30,304369000.0,0.169,37391000000.0,1801000000.0,1801000000.0,28196000000.0,4998000000.0,39039000000.0,39192000000.0,34194000000.0,789000000.0,261000000.0,1050000000.0,26699369000.0,28196000000.0,65157000000.0,31271000000.0,12198000000.0,12122000000.0,2.31,2.33,28196000000.0,,28196000000.0,28196000000.0,28196000000.0,28196000000.0,5737000000.0,33933000000.0,1873000000.0,72000000.0,419000000.0,-419000000.0,,1382000000.0,789000000.0,261000000.0,1050000000.0,31271000000.0,26118000000.0,13808000000.0,12310000000.0,7101000000.0,5209000000.0,5209000000.0,57389000000.0,39039000000.0,96428000000.0,96428000000.0
2025-03-31,1700936000.0,0.173,36478000000.0,9832000000.0,9832000000.0,34540000000.0,4487000000.0,36361000000.0,46310000000.0,41823000000.0,967000000.0,34000000.0,1001000000.0,26408936000.0,34540000000.0,59628000000.0,30606000000.0,12291000000.0,12183000000.0,2.81,2.84,34540000000.0,2415000000.0,34540000000.0,34540000000.0,34540000000.0,34540000000.0,7249000000.0,41789000000.0,10216000000.0,384000000.0,-22000000.0,22000000.0,-22000000.0,9854000000.0,967000000.0,34000000.0,1001000000.0,30606000000.0,23267000000.0,13556000000.0,9711000000.0,6172000000.0,3539000000.0,3539000000.0,53873000000.0,36361000000.0,90234000000.0,90234000000.0
2024-12-31,-30974940.297119,0.177,36676000000.0,-175000000.0,-175000000.0,26536000000.0,4205000000.0,40613000000.0,36501000000.0,32296000000.0,1035000000.0,53000000.0,1088000000.0,26680025059.70288,26536000000.0,65497000000.0,30972000000.0,12348000000.0,12228000000.0,2.15,2.17,26536000000.0,,26536000000.0,26536000000.0,26536000000.0,26536000000.0,5707000000.0,32243000000.0,236000000.0,411000000.0,-87000000.0,87000000.0,-87000000.0,-88000000.0,1035000000.0,53000000.0,1088000000.0,30972000000.0,24884000000.0,13116000000.0,11768000000.0,7363000000.0,4405000000.0,4405000000.0,55856000000.0,40613000000.0,96469000000.0,96469000000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107000000.0,,,,,,,,,,,,,,,
